"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","대학구분","학년구분","학과구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지 주소","모집시작일","모집종료일"
"700","고촌재단(종근당)","무상기숙사장학생","민간(기업)","장학금","기타","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","이수학기 총 평점이 80점 이상인자(3.0/4.5기준 이상)","해당없음","주거비 전액지원 (기숙사비 관리비 공과금 무료)","서울 소재 4년제 대학교 1~3학년에 재학중인 자보호자의 실 주소지가 서울 및 수도권 외 지역인자 * 편도 2시간 이상의 통학시간을 요하는 지역(수원평택안성 등) 거주자는 지원 가능","보호자의 현 주소지가 서울 수도권 외 지역인 자 ","선발 심사기준에 따라 합산점수가 높은 자 순으로 선발함동점자 발생시 학년이 높은 자를 우선 배정함 ","각 기숙사 관마다 선발인원과 성별 상이","4학년(7학기 이상)를 이수한 자(학제가 4년 이상인 전공 제외)재학중 퇴학.정학 등 징계처분을 받았거나 휴학중인 자전염성 질환 및 정신질환 또는 품행불량 등으로 공동생활에 부적합한 자 ","해당없음","주민등록등본가족관계증명서성적증명서소득분위확인서증명사진 * 이하 해당자에 한해서 제출차상위계층 증명서류장애등급 확인서국가유공자(자녀) 증명서봉사활동확인서(2023년 기준) ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","www.kochon.org","2023-12-22","2024-01-18"
"701","재단법인 STX장학재단","국내장학생","민간(기업)","장학금","성적우수","4년제(5~6년제포함)","대학4학기","공학계열/교육계열/사회계열/인문계열/자연계열/제한없음","학점평균 B+이상 (3.3/4.3 이상 또는 3.5/4.5 이상) * 2학년 1학기까지 평균성적 (3학년 1학기 복학예정자는 2학년 2학기까지) ","해당없음","학기당 등록금 3000000원 한도 + 학업보조금 월 500000원 * 1인 연간 최대 1200만원 지원 * 최대 2년까지 (조기졸업시 지원종료)","국내 국·공립 사립 종합 4년제 대학교 3학년 1학기(5학기) 진급예정자 (4학기 재학생 혹은 4학기 이수한 복학예정자)","해당없음","서류심사 항목 : 학업성적 장래성 가정형편 등을 종합적으로 고려하여 면접 대상자 선발면접평가 항목 : 인성 및 품성 장래성에 대한 평가","20명 이내","예체능계 의예 약대 간호대 사범대 등 특수·전문계열 및 전공 제외선발된 첫 학기에 휴학하는 경우 또는 휴학기간이 지원기간 중 1년을 초과하는 경우지원한 학교 전공분야 등 변경 불가당 재단 장학금 수혜기간 동안 타 재단의 장학금을 중복 수혜할 수 없음 * 자세한 사항은 첨부파일 참고","해당없음","주민등록등본 1부성적증명서(전 학년 수강내역) 1부인턴/대외활동증명서(지원서 기재항목)VMS 1365기관에서 발급한 봉사활동 증명서(지원서 기재항목)2023년 2학기 기준 소득분위 결정통지서  * 자세한 사항은 첨부파일 및 홈페이지 공지사항 참고","http://stxfoundation.or.kr/index ","2023-11-01","2023-11-14"
"702","(재)고속도로장학재단","장학금","관계부처","장학금","기타","4년제(5~6년제포함)/기술대학/원격대학/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","기초·차상위 계층 : 5000000원일반 : 4000000원","고속도로 사고(교통사고 및 건설·유지관리 안전사고)로 인하여 사망한 자의 자녀 및 장애의 정도가 심한 장애인(기존1~3급 장애인복지법)으로 판정된 자 또는 그의 자녀","해당없음","서류 심사 후 심의위원회 의결을 거쳐 선발","OOO명","음주 및 불법으로 인한 교통사고의 원인제공자 및 그의 자녀 제외1가구 1자녀 신청원칙(기초수급·차상위 제외) * 자세한 사항은 기관으로 문의 바랍니다.","해당없음","고속도로 장학금 신청서개인정보 수집·이용 동의서교통사고사실확인서사고자와의 관계 증빙 서류 (가족관계증명서 또는 제적등본/주민등록등본)재학증명서신청자 본인 통장사본국민기초생활보장법에 의한 수급자 증명서 등 생활형편증명서류 (해당자)장애인복지카드 사본 (장애인)재적증명서 및 1학기 등록금 납입 영수증 (휴학생)기타 사실관계 확인 및 증빙을 위하여 필요한 서류류 * 자세한 사항은 첨부파일 또는 기관 홈페이지 참고 바랍니다.","http://www.hsf.or.kr","2023-09-08","2023-10-04"
"703","교보생명교육문화재단","희망다솜장학금","민간(기업)","장학금","소득구분","4년제(5~6년제포함)/전문대(2~3년제)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","수급자 차상위계층 한부모.조손가정 소년소녀가정 위탁가정 청소년에 해당하는 자 ","학기당 2000000원  * 기준 충족시 대학 입학부터 졸업시(8학기)까지 장학금 지원최대 1600 만원 ","① 보육원/공동생활가정 등 사회복지시설에서 성장한 2024학년도 국내 대학 신입생② 수급자/차상위계층/한부모조손가정/소년소녀가정/위탁가정 청소년으로 2024년 국내 대학 신입생","해당없음","1차 서류심사2차 면접심사","총 20명 이내","해당없음","추천인 자격은 시설장 사회복지사 담임교사 등","지원신청서학교생활기록부증명사진  * 자세한 사항은 홈페이지 참고 ","https://www.kbedu.or.kr/","2023-12-06","2024-01-07"
"704","IBK행복나눔재단","희망나래 자립준비청년","민간(기업)","장학금","기타","4년제(5~6년제포함)/일반대학원/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","연간 5000000금융경제교육 취업 컨설팅 등 포함","대학교 및 대학원(전문대 사이버대 등 교육부로부터 인허가된 교육기관 포함)조기종료아동 및 보호연장아동 포함","해당없음","해당없음","200명","입학예정자 및 휴학생 제외","해당없음","재단 홈페이지에서 온라인 신청","http://www.ibkfoundation.or.kr/","2023-07-20","2023-08-13"
"705","IBK행복나눔재단","IBK장학생","민간(기업)","장학금","소득구분","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","특정학과","해당없음","□ 연소득 6000만원 이하의 중소기업 근로자/소상공인 본인 및 미혼의 자녀","□ 기업의 기부 참여에 따라 장학금 수령 금액 상이(기부 미참여시 240만원/기부 참여시 300만원)","□ 대학교 재학생","해당없음","해당없음","해당없음","□ 대기업/공공기관 임원 및 근로자/중소기업 대표자 및 임원/휴학생/국외 소재 학교의 학생 지원 불가","해당없음","□ 근로자/소상공인 준비서류 ㅇ 가족관계증명서 ㅇ (근로자) `23년 근로소득원천징수영수증 ㅇ (소상공인) `22년 소득금액증명원/사업자등록증 ㅇ `24년 건강보험료 납부확인서 ㅇ 거주주택 관련 서류□ 학생 준비서류 ㅇ 자기소개서 ㅇ 전체 학년 성적증명서(신입생의 경우 고등학교 전체학년 성적증명서 또는 생활기록부와 대학교 재학증명서 또는 등록금 납부확인서) ㅇ 학생 명의의 당행 통장※ 자세한 사항은 홈페이지 참고","http://www.ibkfoundation.or.kr/","2024-03-25","2024-04-05"
"706","신라문화장학재단","장학생","민간(기타)","장학금","기타","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","32학점 이상 이수하고 평균평점 3.0이상","2023년도 양친 지방세 세목별 과세증명서 건물·토지분 재산세 합계액 100만원 이하 ","졸업까지 등록금 전액 ","2024년도 2학년 예정자 5년제는 3학년 6년제는 본과 2학년","해당없음","해당없음","해당없음","타 등록금 명목 장학금과 중복수혜 불가능","해당없음","장학생 공개선발 지원서개인정보동의서자기소개서전체 학년 성적증명서주민등록등본2023년도 양친 지방세 세목별 과세 증명서  ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","https://www.sillafoundation.com","2024-01-29","2024-02-08"
"707","재단법인 신한장학재단","신규장학생","민간(기업)","장학금","소득구분","4년제(5~6년제포함)/전문대(2~3년제)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","수능성적 4개 영역(국어수학영어탐구)중 3개 영역이상 4등급 이내* 탐구영역은 2과목 평균이 3등급 이내일 경우에 한해서 3등급 이내로 인정.* 한국사 제2 외국어/한문 영역은 평가에서 제외.* 검정고시생인 경우 수능응시 전과목 성적으로 내신성적을 대용 산정","기초생활수급자 또는 차상위계층기타 생활 및 학업 여건이 어려운 학생","입학금 : 전액등록금 : 전액 * 자세한사항은 첨부파일 참고","2024년도 대학교 입학예정자","해당없음","해당없음","100명 내외 (지원율 등의 요인에 따라 선발인원 변동 가능)","한국장학재단 및 교내 장학금 이외의 타 재단의 장학금을 수령하는 경우 장학생 선발에서 제외","해당없음","장학생 추천서고등학교 생활기록부 사본대학수학능력시험 성적표소득유형 증빙서류주민등록등본가족관계증명서장애인 증명서(해당시)개인(신용)정보 수집/이용/제공 동의서 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://www.shsf.or.kr","2023-12-11","2024-01-10"
"708","재단법인청송군인재육성장학회","우수대학재학특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/특정대학","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음/특정학과","학기별 성적 4.5 기준 3.0 이상직전 2개 학기 학기당 12학점 이상 이수","해당없음","서울대 연세대 고려대 포항공대 : 4년 등록금 전액 지원전국 의과대 한의대 치과대 : 2년 등록금 전액 지원","서울대 연세대 고려대 포항공대 재학생전국 의과대·한의대·치과대 재학생","공고일 현재 부모 또는 보호자가 1년 이상 계속하여 청송군에 주민등록이 되어 있는 학생관내 중·고등학교를 졸업한 국내대학교 신입생 및 재학생","해당없음","해당없음","대학원생 정규 학제 기간 초과자 제외2023년 장학금 수령 후 휴학한 학생 제외2024년 2월 졸업(예정)자 및 2024년 휴학중(예정)인 자 제외타 기관 장학금과 중복지급 불가 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생지원신청서장학금 지급신청서주민등록초본관내 고등학교 졸업증명서장학금(비)수혜증명서등록금납입영수증(또는 납입내역서)가족관계증명서재학증명서성적증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.csjanghak.or.kr/","2024-02-20","2024-03-15"
"709","재단법인청송군인재육성장학회","우수대학입학특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/특정대학","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","서울대 연세대 고려대 포항공대 : 4년 등록금 전액 지원의과대 한의대 치과대 : 2년 등록금 전액 지원","관내 고등학교 졸업자 중 우수대학교 입학생서울대 연세대 고려대 포항공대 또는 전국 의과대·한의대·치과대에 진학한 학생","공고일 현재 부모 또는 보호자가 1년 이상 계속하여 청송군에 주민등록이 되어 있는 학생관내 중·고등학교를 졸업한 국내대학교 신입생","해당없음","해당없음","대학원생 정규 학제 기간 초과자 제외2023년 장학금 수령 후 휴학한 학생 제외2024년 2월 졸업(예정)자 및 2024년 휴학중(예정)인 자 제외타 기관 장학금과 중복지급 불가 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생지원신청서장학금지급신청서주민등록초본관내 고등학교 졸업증명서장학금(비)수혜증명서등록금 납입영수증 또는 납입내역서가족관계증명서재학증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.csjanghak.or.kr/","2024-02-20","2024-03-15"
"710","재단법인청송군인재육성장학회","저소득층자녀장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","(신입생) 고등학교 최종(고3 1·2학기 전체) 성적이 100분의 30 이내(재학생) 직전 2개 학기 평점이 4.5 기준 3.0 이상직전 2개 학기 학기당 12학점 이상 이수","국민기초생활보장수급 및 차상위 자녀","관내 고등학교 졸업자 : 2000000원관내 중학교 졸업자 : 1500000원","신입생: 관내 고등학교 졸업자재학생: 관내 중학교 또는 고등학교 졸업자","공고일 현재 부모 또는 보호자가 1년 이상 계속하여 청송군에 주민등록이 되어 있는 학생관내 중·고등학교를 졸업한 국내대학교 신입생 및 재학생","해당없음","해당없음","대학원생 정규 학제 기간 초과자 제외2023년 장학금 수령 후 휴학한 학생 제외2024년 2월 졸업(예정)자 및 2024년 휴학중(예정)인 자 제외국가 또는 지방자치단체 공공단체 및 민간단체로부터 본 장학회에서 지급하는 장학금의 300% 이상을 받은 자 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","신입생: 관내 졸업고등학교 학교장 추천","장학생지원신청서장학금지급신청서주민등록초본가족관계증명서성적증명서(신입생) 장학생추천서(재학생) 관내 중학교 및 고등학교 졸업증명서재학증명서장학금(비)수혜증명서국민기초생활수급자증명서 및 차상위계층증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.csjanghak.or.kr/","2024-02-20","2024-03-15"
"711","재단법인청송군인재육성장학회","일반성적우수장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 2개 학기 학기당 12학점 이상 이수(신입생) 고등학교 최종(고3 1·2학기 전체) 내신 성적이 100분의 20 이내인 자(재학생) 직전 2개 학기 평점이 4.5 기준 3.7 이상인 자","해당없음","관내 고등학교 졸업자 : 2000000원관내 중학교 졸업자 : 1500000원","(신입생) 관내 고등학교 졸업자 또는 (재학생) 관내 중학교 또는 고등학교 졸업자","공고일 현재 부모 또는 보호자가 1년 이상 계속하여 청송군에 주민등록이 되어 있는 학생","해당없음","해당없음","대학원생 정규 학제 기간 초과자 제외2023년 장학금 수령 후 휴학한 학생 제외2024년 2월 졸업(예정)자 및 2024년 휴학중(예정)인 자 제외국가 또는 지방자치단체 공공단체 및 민간단체로부터 본 장학회에서 지급하는 장학금의 300% 이상을 받은 자 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","신입생(1학년): 관내 졸업고등학교 학교장 추천","장학생지원신청서장학금지급신청서주민등록초본가족관계증명서성적증명서(신입생) 장학생추천서(재학생) 관내 중학교 및 고등학교 졸업증명서재학증명서장학금(비)수혜증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.csjanghak.or.kr/","2024-02-20","2024-03-15"
"712","재단법인청송군인재육성장학회","특기장학생","지자체","장학금","특기자","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","직전 2개 학기 학기당 12학점 이상 이수","해당없음","국가대표 선발 : 3000000원전국 1위 : 2000000원전국 2위 : 1500000원                전국 3위 및 도단위 1위 : 1000000원","예·체능 특기 소유 학생으로 전년도 도 단위 1위 전국대회 3위 이상 입상자","공고일 현재 부모 또는 보호자가 1년 이상 계속하여 청송군에 주민등록이 되어 있는 학생관내 중·고등학교를 졸업한 국내대학교 신입생 및 재학생","해당없음","해당없음","대학원생 정규 학제 기간 초과자 제외2023년 장학금 수령 후 휴학한 학생 제외2024년 2월 졸업(예정)자 및 2024년 휴학중(예정)인 자 제외국가 또는 지방자치단체 공공단체 및 민간단체로부터 본 장학회에서 지급하는 장학금의 300% 이상을 받은 자 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","신입생: 관내 졸업고등학교 학교장 추천","장학생지원신청서장학금지급신청서주민등록초본가족관계증명서특기관련 성적증명서(신입생) 장학생추천서(재학생) 관내 중학교 및 고등학교 졸업증명서재학증명서장학금(비)수혜증명서 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.csjanghak.or.kr/","2024-02-20","2024-03-15"
"713","재단법인청송군인재육성장학회","일시적으로 생활이 어려운 가정 장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생: 관내 고등학교 최종 내신 성적이 100분의 30 이내인 자재학생: 직전 학년 평점이 4.5기준 시 3.0 이상인 자","해당없음","관내 고등학교 졸업자: 2000000원관내 중학교 졸업자: 1500000원  * 인재육성장학회에서 지원하는 성적우수자 중복지원 가능","가정 내 가족(부모(보호자) 형제자매) 중 중증질병 상해(교통사고 등) 또는 편부모 발생 등으로 경제적 어려움을 겪고 있는 가정의 자녀가 학업을 지속하기 어려운 경우","공고일 현재 부모 또는 보호자(부모가 없을 경우)의 주민등록이 청송군내에 있고 * 신입생: 관내 고등학교 졸업자 * 재학생: 관내 중학교 또는 고등학교 졸업자","적격자에 한해 이사회에서 심의 의결","해당없음","부모(부모가 없을 시 보호자)가 청송군 관외로 거주지를 이전하였을 때장학생 신청서 내용과 첨부서류가 허위로 작성 제출되었을 때 보호자 또는 장학생이 주민으로부터 지탄을 받을만한 불미스러운 행위를 하였을 때장학생이 퇴학하였거나 정학 이상의 징계 처분을 받았을 때군에 입대하거나 질병 등의 사유로 학업을 계속하기 곤란할 때학교장의 정지신청이 있을 때기타 이사장이 장학금의 지급을 정지할 필요가 있다고 인정할 때","사회복지과장의 추천","장학생지원신청서장학금지급신청서주민등록등본성적증명서재학증명서장학생추천서관내 중학교 및 고등학교 졸업 증명서장학금(비)수혜증명서*자세한 사항은 홈페이지 참고","http://www.csjanghak.or.kr","2023-02-20","2023-03-15"
"714","재단법인청송군인재육성장학회","다자녀가정특별장학생","지자체","장학금","기타","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","해당없음","해당없음","3000000원 (연1회)","세 자녀 이상을 둔 가정의 셋째 자녀부터 신청가능성적 및 출신학교의 제한 없음","공고일 현재 부모 또는 보호자가 1년 이상 계속하여 청송군에 주민등록이 되어 있는 학생","해당없음","해당없음","대학원생 정규 학제 기간 초과자 제외2023년 장학금 수령 후 휴학한 학생 제외2024년 2월 졸업(예정)자 및 2024년 휴학중(예정)인 자 제외국가 또는 지방자치단체 공공단체 및 민간단체로부터 본 장학회에서 지급하는 장학금의 300% 이상을 받은 자 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생지원신청서장학금지급신청서재학증명서주민등록초본가족관계증명서장학금(비)수혜증명서학적부 또는 학적증명서청송군인재육성장학회 사무국 054-870-6048","http://www.csjanghak.or.kr","2024-02-20","2024-03-15"
"715","재단법인 당진장학회","특별장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","고교 3학년 1학기까지(5개 학기)의 전 과목 평균등급(단위수 적용)이 2.0이내인 학생과 내신 성적만으로 대학을 진학하는 학생대학수학능력시험성적의 3개영역(국어 수학 탐구영역1과목 표준점수의 합계가 270점 이상이며 영어는 2등급 이내)","해당없음","2000000원","관내 고등학교 졸업하고 대학에 진학한 학생","공고일 현재 학생 또는 보호자가 당진시에 주민등록을 두고 1년 이상 계속하여 당진에 거주하고 있는 자관내 고등학교 졸업","접수(신청/추천서)심의위원회 심의이사회 확정","35명","휴학생 유학생 사이버대학생은 제외복지장학생을 제외한 장학금은 등록금 명목으로 지원(중복지원 확인 시 환수)복지장학생의 경우 생활비 명목의 장학금으로 지원하며 중복수혜 방지 대상에서 제외국가장학금(이장자녀장학금 새마을지도자 자녀장학금 등) 중복수혜자 제외","지역핵심인재전형 학생 : 당진시장 추천","신청서주민등록등본/초본 (반드시 주소변경등록사항 포함)재학증명서고등학교 3학년 1학기 까지의 전과목 성적증명서2024학년도 수능성적통지표 사본(원본대조필)(해당자만 제출)지방세 완납증명서(미과세 증명서) 부/모 각 1부기타 신청자격 증빙서류 * 자세한 사항은 첨부자료 참고","http://dangjin.go.kr/","2024-03-11","2024-03-22"
"716","재단법인 당진장학회","우수장학생장학금","지자체","장학금","지역연고","4년제(5~6년제포함)","대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","2학년이상 재학생으로 직전학년 두 학기 성적이 전과목 백분율 90점 이상인 학생","해당없음","2000000원","2년이상 재학생","공고일 현재 학생 또는 보호자가 당진시에 주민등록을 두고 1년 이상 계속하여 당진에 거주하고 있는 자","접수(신청/추천서)심의위원회 심의이사회 확정","40명","휴학생 유학생 사이버대학생은 제외국가장학금 및 지방자치단체 장학금은 중복수혜 방지 대상","해당없음","신청서주민등록등본/초본 (반드시 주소변경등록사항 포함)재학증명서대학성적증명서지방세 완납증명서(미과세 증명서) 부/모 각 1부기타 신청자격 증빙서류통장사본 * 자세한 사항은 첨부자료 참고","http://dangjin.go.kr/","2024-03-11","2024-03-22"
"717","재단법인 당진장학회","복지장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","신입생 : 고등학교 3학년 1학기까지(5개 학기) 전 과목 내신 평균 6등급이내인 학생재학생 : 직전학년 두 학기 성적이 전과목 평균 백분율 70점 이상인 학생(인원초과시 성적순으로 선발)"," * 아래에 어느 하나에라도 해당하는 자저소득가정 학생중증장애(1~3등급)학생 및 의료보험공단에 중증환자로 등록된 학생 본인다자녀가정 학생 (3자녀 이상)다문화가정 학생새터민가정 학생","2000000원 (생활비 명목)","해당없음","공고일 현재 학생 또는 보호자가 당진시에 주민등록을 두고 1년 이상 계속하여 당진에 거주하고 있는 자","접수(신청/추천서)심의위원회 심의이사회 확정","대학교 : 40명","휴학생 유학생 사이버대학생은 제외대학 장학금 수헤 대상자는 입학 연력 기준 만 25세 이하로 함","수혜자 본인 직접 신청으로 추천 필요 없음","신청서개인정보이용동의서주민등록등본/초본 (반드시 주소변경등록사항 포함)재학증명서대학성적증명서2023년 건강보험료 납부확인서 부모 각 1부지방세 완납증명서 (미과세 증명서)부/모 각각 제출기타 신청자격 증빙서류통장사본 * 자세한 사항은 첨부자료 참고","http://www.dangjin.go.kr/janghak.do","2023-03-13","2023-03-24"
"718","재단법인 윤송 조창석 문화재단","장학생","민간(기타)","장학금","성적우수","4년제(5~6년제포함)","대학5학기/대학6학기/대학7학기/대학8학기이상","공학계열/사회계열","전년도 학기별 12학점 이상 이수자로 평점 3.7/4.5 이상인자","가정형편이 곤란하여 학업에 지장이 있는 학생(소득분위 고려)","등록금전액(한국장학재단 지원금 공제한 최종 등록금액)","2024년 3월 기준 2-4학년 진학 예정자 * 각 학교 장학부서에 문의하여 재단으로 추천이 가능한지 문의교외장학금을 비롯한 학비감면 혜택을 받고 있지 않은 자 (국가장학금 제외)부모의 직장에서 자녀 장학금 지원혜택을 받고 있지 않은 자금고 이상의 형 및 학교에서 징계처분을 받은 사실이 없는 자 ","해당없음","단과대학별 추천","0명 ※ 자세한 사항은 첨부파일 또는 학교 홈페이지 참고","타 기관 혹은 교내에서 장학금 및 이와 유사한 학비감면 등의 혜택  을 받고 있을 경우 자격제한(한국장학재단 제외)부모의 직장에서 자녀 장학금 지원 혜택을 받고 있지 않은 학생금고이상의 형 및 학교에서 징계처분 등을 받은 경우 자격제한 ※ 자세한 사항은 첨부파일 또는 학교 홈페이지지 참고","학과장 또는 지도교수 추천"," * 제출 전 각 학교 장학부서에 문의하여 추천 가능여부 확인 필수장학생지원서성적증명서주민등록등본학과장 또는 지도교수 추천서자기소개서부양자 건강보험료납부확인서개인정보수집이용 및 제공 동의서 ※ 자세한 사항은 첨부파일 참고 또는 각 학교 장학부서 문의 ","해당없음","2024-01-08","2024-01-17"
"719","경기도민회장학회","성적소득장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","재학생 : 직전학기 12학점 이상 이수 평점평균 B이상신입생 : 수능성적 또는 고교 3학년 내신성적(12학기중 선택) 전과목 평균 80점이상 *검정고시 출신은 검정고시 성적표 기준","한국장학재단 학자금 지원구간 통지서로 평가","대학생 : 4000000전문대생 : 3000000사이버대학 방송통신대학생 : 600000","국내에 소재 학교에 재학중 이거나 신입(편입) 또는 복학 예정인 학생","경기도내 연속 거주 3년 이상 (2021.03.14 이후)","해당없음","대학생 : 322명전문대생 : 85명사이버대학 방송통신대학생 : 30명","해당없음","해당없음","신청서주민등록표 등본교육비 납입증명서성적증명서통장사본한국장학재단 학자금지원구간통지서 * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://ggdm.kr","2024-03-04","2024-03-13"
"720","경기도민회장학회","예능체육특기장학생","지자체","장학금","지역연고","4년제(5~6년제포함)/전문대(2~3년제)","대학2학기/대학3학기/대학4학기/대학5학기/대학6학기/대학7학기/대학8학기이상/대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","예/체능 특기생 : 2023년도 전국 및 광역 시/도 단위 이상 대회에서 수상한 실적이 있는 학생* 예능 범위 : 사진 국악 음악 무용 미술 문학 연예 연극 건축 영화","해당없음","예/체능 특기 장학생 : 1500000원","국내에 소재 학교에 재학중 이거나 신입(편입) 또는 복학 예정인 학생2023년도 전국 및 광역시 도단위 이상 대회 수상한 실적이 반드시 있는 학생 ","2021년 3월 14일 부터 현재 주민등록상 부/모 (기혼자는 본인)가 3년이상 연속하여 경기도내에서 거주하고 있는 경기도민의 자녀(관외거주) 경기도민회 가입 3년 이상된 회원의 자녀","대회 규모 주최 시상내역 참가방식 등을 고려하여 선발 * 자세한 기준표는 첨부파일 참고","체육특기생:26명예능특기생:24명","학기중 휴학 퇴학 타장학금 등록금초과자 제외 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","해당없음","장학생 선발 신청서주민등록표 등본예능/체육대회 입상 상장 사본통장사본재학증명서(신입생은 등록금 납부 영수증등 입증 서류) * 자세한 사항은 첨부파일 또는 홈페이지 공지사항 참고","http://ggdm.kr","2024-03-04","2024-03-13"
"721","장보고장학회(완도군청)","대학신입장학생","지자체","장학금","지역연고","4년제(5~6년제포함)","대학신입생","공학계열/교육계열/사회계열/예체능계열/의약계열/인문계열/자연계열/제한없음","고등학교 3학년 1학기 성적","해당없음","1인당 2000000원","2024학년도 대학교 신입생","완도군 소재 고등학교 졸업하고 2024학년도 대학생 신입생인 자공고일 기준 1년이상 보호자 또는 본인이 완도군에 주민등록을 둔 자완도군 헝소년으로서 30세 이하인 자","성적평가 90% + 소득평가 10%신청 접수 > 심사 > 대상자 확정 > 장학금 지급","일반대학교(2년제이상) : 30명","해당없음","해당없음","장학금 지원신청서보호자 주민등록초본가족관계증명서재학증명서성적증명서졸업증명서건강보험료 납부확인서통장사본※ 자세한 사항은 기관 홈페이지 참고","http://www.wando.go.kr/","2024-03-04","2024-03-18"
