"번호","운영기관명","상품명","운영기관구분","상품구분","학자금유형구분","학교구분","학년구분","성적기준 상세내용","소득기준 상세내용","지원내역 상세내용","특정자격 상세내용","지역거주여부 상세내용","선발방법 상세내용","선발인원 상세내용","자격제한 상세내용","추천필요여부 상세내용","제출서류 상세내용","홈페이지주소","모집시작일","모집종료일"
"505","재단법인청송군인재육성장학회","특별장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","신입생: 관내 고등학교 최종 내신 성적이 100분의 30 이내인 자","해당없음","1000000원","가정 내 가족(부모(보호자) 형제자매) 중 중증질병 상해(교통사고 등) 또는 편부모 발생 등으로 경제적 어려움을 겪고 있는 가정의 자녀가 학업을 지속하기 어려운 경우","선발 공고일 현재 부모 또는 보호자의 주민등록이 청송군 내에 있고 관내 학교에 재학 중인 자","적격자에 한해 이사회에서 심의 의결","해당없음"," * 자세한 사항은 기관으로 문의 바랍니다.","사회복지과장 추천","장학생지원신청서장학금지급신청서주민등록등본성적증명서재학증명서장학생추천서","http://www.csjanghak.or.kr/","2023-02-20","2023-03-15"
"506","재단법인청송군인재육성장학회","지역고등학교살리기장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","입학생 :중학교 3학년의 정원 수에 비례하여 10명 당 1명을 배정하며 1~3등까지 추천재학생: 해당 학년 상위 30% 성적 유지 시 선발","해당없음","2000000원","관내 중학교 3학년 학생 성적우수자가 관내 고등학교에 진학한 경우 ","선발 공고일 현재 부모 또는 보호자의 주민등록이 청송군 내에 있고 관내 학교에 재학 중인 자","적격자에 한해 이사회에서 심의 의결","해당없음"," * 자세한 사항은 첨부파일 참고 ","학교장 추천","장학생지원신청서장학금지급신청서","http://www.csjanghak.or.kr/","2023-02-20","2023-03-15"
"507","재단법인 평택시 장학재단","특기장학생","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원","2022년도 공신력있는기관(정부중앙부처 및 지자체 등) 주최한 대회에서 장려 또는 3위 이상 입상한 자(관련기관 및 협회 포함)","공고일 기준 평택시에 주민등록을 두고 1년이상 거주하고 있는 시민 또는 시민의 자녀","수상실적 100% + 가산점(다자녀 자원봉사 장애인) * 자세한 사항 및 배점기준은 첨부파일 참고","15명 * 대학원 선발인원 포함","해당없음","해당없음","신청서재학증명서주민등록표 초본(주소변동사항 포함 발급)가족관계증명서기능 및 예체능 분야 수상 증명(확인)서2022년 자원봉사실적 확인서(해당자)장애인증명서(해당자)법정대리인동의서 * 자세한 사항은 첨부파일 참조","http://www.ptsf.or.kr","2023-05-15","2023-05-26"
"508","(재) 창원시장학회","고등학교 장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","해당없음","해당없음","500000원","창원시 소재 고등학교 재학생(학년 구분 없음) 중 해당 고등학교장이 추천한 자","본인 또는 부모 중 한사람의 주소가 공고일 기준 창원시에 등록되어야 함","해당없음","고등학교 장학금 196명꿈드림 장학금 20명 ","타 장학금과 중북 지원 불가 ","학교장 추천단 꿈드림장학생 20명에 대해서는 (제도권권 밖 청소년)은 창원시에서 추천","장학금 지원 신청서 개인 작성우편접수 시 해당 학교장의 공문 필히 첨부부모님 통장사본 및 주민등록등본 1통","www.jhjh.or.kr","2023-03-02","2023-03-20"
"509","황해도장학회","장학생","민간(기타)","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","500000원","향토 사업에 참여하여 청년회 및 후계세대 활동 및 애향활동을 하고 있는 자자","황해도 출신자 또는 자녀","황해도 각 시 군 및 기관단체에서 선발 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","첨부파일 또는 홈페이지 참고","해당없음","해당없음","장학금 지원 신청서청년회 및 후계세대 활동 서약서장학금 지원 신청인의 공적사항 또는 활동계획서제적등본 또는 가족관계증명서 중 1부 ※ 자세한 사항은 첨부파일 또는 홈페이지 참고","http://www.ibuk5do.go.kr/5do/frt/main.do","2023-04-29","2023-05-30"
"510","대사습기능후원회","장학생","민간(기타)","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","각 700000원 ","전국 고등학교에 재학 중 국악 전공자대사습놀이학생전국대회 각 부문 장원자로서 우리 국악의 후계자로 재능이 뛰어난 자국악발전에 현저한 공이 있는 국악예술인의 자녀로서 국악에 전심하며 성적이 우수하고 품행이 단정한 자우리나라 국악예술 발전 계승에 자질이 인정되며 장래가 유망한 자 ","해당없음","해당없음","5명","타 기관 및 단체 장학금 수여자 제외","해당없음","추천서주민등록등본 1부재학증명서 1부생활기록부본인명의 통장 사본 1부※ 자세한 사항은 기관 홈페이지 참조","http://www.jjdss.or.kr/index.php","2023-11-30","2023-12-13"
"511","재단법인 파주시행복장학회","희망장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","해당없음","해당없음","해당없음","1000000원","관내 소재 학교의 학생","장학생 선발 공고일 현재 주민등록상 부모 세대주와 학생이 3년 이상 파주시에 계속 거주하고 있는 시민의 자녀","해당없음","40명","해당없음","학교장","장학금 지급대상자 추천서장학금 신청서개인정보 제공 동의서재학증명서학생과 세대주 주민등록초본 개인별 각 1통가족관계증명서각종 증빙서류 * 자세한 사항은 홈페이지 참고","http://www.happypaju.or.kr","2023-03-06","2023-03-24"
"512","재단법인청양사랑인재육성장학회","내고장학교보내기장학","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","해당없음","고둥학교 신입생으로 군내 중학교를 졸업하고 군내 고등학교 입학생 중 입학성적 1~2위인 자군내 중학교 성적 상위 10%이내인 자 중 군내 고등학교에 입학한 자","해당없음","1000000 ~ 3000000원 * 자세한 사항은 첨부파일 참조","2023학년도 신입생생군내 고등학교 입학생 중 입학성적 1~2위인 자군내 중학교 성적 상위 10%이내인 자 중 군내 고등학교에 입학한 자","장학생 선발 공고일 1년 전부터 계속하여 부모 또는 본인이 청양군에 주소를 두고 거주하는 자","해당없음","해당없음","신청일 현재 휴학생 및 휴학예정자이장자녀장학금 새마을지도자녀장학금 의용소방대원자녀장학금 수혜자 농업인자녀 학자금 등 장학금 중복 수혜재학 중 학교폭력 등으로 징계를 받은 사실이 있는 자 * 자세한 사항은 선발 기관으로 문의 바랍니다.","해당없음","장학금지원신청서개인정보동의서중학교 졸업증명서재학증명서주민등록등본(주소이력포함) * 자세한 사항은 첨부파일 참조","http://www.cylove.kr","2023-03-02","2023-03-27"
"513","재단법인청양사랑인재육성장학회","성적우수(군내)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","직전 학년 과목별 성적이 ""B"" 이상(등급점수 4등급 이내)인 자고교학점제 시행의 경우 직전 학년 보통 교과 성적 10%이내이며 전로 선택과목 성취도 평균 'B'이상인 자","해당없음","400000원","군내 고등학교 재학생으로 성적우수자","장학생 선발 공고일 1년 전부터 계속하여 부모 또는 본인이 청양군에 주소를 두고 거주하는 자","해당없음","해당없음","신청일 현재 휴학생 및 휴학예정자이장자녀장학금 새마을지도자녀장학금 의용소방대원자녀장학금 수혜자 농업인자녀 학자금 등 장학금 중복 수혜재학 중 학교폭력 등으로 징계를 받은 사실이 있는 자 * 자세한 사항은 선발 기관으로 문의 바랍니다.","해당없음","장학금지원신청서개인정보동의서재학증명서성적증명서(직전학년)주민등록초본장학금비수혜확인서 * 자세한 사항은 첨부파일 참조","http://www.cylove.kr","2023-03-02","2023-03-27"
"514","재단법인청양사랑인재육성장학회","성적우수(군외)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","해당없음","직전학년 성적 3/100 이내인 자과목별 성적이 ""B"" 이상(등급점수 3등급 이내)으로 이중 ""A""(등급점수 2등급 이내)가 80% 이상인 자고교학점제 시행의 경우 직전 학년 보통교과 상위성적 3%이내이며 진로 선택과목 성취도 'B'가 80%이상인 자","해당없음","400000원","군내 초등학교와 중학교를 졸업","장학생 선발 공고일 1년 전부터 계속하여 부모 또는 본인이 청양군에 주소를 두고 거주하는 자","해당없음","해당없음","신청일 현재 휴학생 및 휴학예정자이장자녀장학금 새마을지도자녀장학금 의용소방대원자녀장학금 수혜자 농업인자녀 학자금 등 장학금 중복 수혜재학 중 학교폭력 등으로 징계를 받은 사실이 있는 자 * 자세한 사항은 선발 기관으로 문의 바랍니다.","해당없음","장학금지원신청서개인정보동의서초등학교 졸업증명서중학교 졸업증명서재학증명서직전학년 성적증명서주민등록초본장학금비수혜확인서 * 자세한 사항은 첨부파일 참고","http://www.cylove.kr","2023-03-02","2023-03-27"
"515","재단법인청양사랑인재육성장학회","예체능장학","지자체","장학금","특기자","예술고/일반고/체육고","1학년/2학년/3학년/제한없음","직전학년 예체능부분 성적이 전국규모대회에서 3위이상 입상한 자와 체육부문은 도 대회 1위 입상자","해당없음","400000원","군내 초중고대학 재학생 및 군내 초등학교나 중학교 또는 고등학교를 졸업한 군외 중고대학생 ","장학생 선발 공고일 1년전부터 계속하여 부모 또는 본인이 청양군에 주소를 두고 거주한 자 ","해당없음","해당없음","신청일 현재 휴학생 및 휴학예정자이장자녀장학금 새마을지도자녀장학금 의용소방대원자녀장학금 수혜자 농업인자녀 학자금 등 장학금 중복 수혜재학 중 학교폭력 등으로 징계를 받은 사실이 있는 자 * 자세한 사항은 선발 기관으로 문의 바랍니다.","해당없음","장학금지원신청서개인정보동의서재학증명서입상증명서류(직전학년)주민등록등본군내 초·중 졸업증명서(관외 재학생) * 자세한 사항은 첨부파일 참조","http://www.cylove.kr","2023-03-02","2023-03-27"
"516","한국산림복지진흥원","녹색 학업장학","관계부처","장학금","성적우수","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","1학기 평균 80점 이상 취득취약계층의 경우 1학기 평균 70점 이상 취득","해당없음","도서상품권 30만원/인","대한민국 국적자로 국내 소재 고등학교에서 산림·임업 분야를 전공하고 있는 재학생대한민국 국적자로 국내소재 고등학교 재학생으로서 산림·임업인 본인 및 자녀","해당없음","기본: 학업성적 백점변환점수 최대 100점가점: 취약계층 4점 * 성적 환산 점수 및 가점을 합산하여 고득점 순 선발 (상대평가) * 자세한 사항은 첨부파일 참고","50명","과거 수혜이력이 있는 경우 신청 불가동일년도 내 장학금 유형 간 중복 수혜 불가산림·임업인 자녀 중 동일가구에서 2인 이상 지원 불가기타 녹색 장학사업 운영위원회에서 지급이 합당하지 않다고 판단할 경우 선발 제외","해당없음","장학금 신처엇개인정보 수집·활용 동의서취약계층 증빙서류(해당자)'23년도 1학기 성적증명서'23년도 2학기 재학증명서학업장학금(도서상품권) 수령증통장사본신분증사본산림·임업인 본인 및 자녀임을 증빙하는 자료(해당자) * 자세한 사항은 첨부파일 참고","https://www.fowi.or.kr","2023-08-14","2023-09-13"
"517","사단법인봉화군교육발전위원회","성적우수장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","신입생 : 입학성적 또는 중학교 전학년 성적이 상위 30% 이내재학생(기존) : 2년 연속(2021~2022) 선발된 장학생으로 직전학기 성적이 상위 20% 이내인 학생재학생(추가) : 직전학기 성적이 상위 10% 이내인 학생","해당없음","1000000원","봉화군 관내 고등학생으로 성적우수자관내 학교 재학생으로 학업성적이 우수하고 품행이 모범적인 자","신청일 현재 본인과 부모(보호자)가 봉화군에 주민등록 주소지를 두고 있는 관내 학교 재학생","학교장 추천 및 장학위원회 심의 의결을 거쳐 선발","72명 * 재학구분 및 학교별 선발인원 첨부파일 참조","이장 새마을지도자 의용소방대 저소득층 자녀 장학금 대상자는 신청 불가학교 등 타 기관으로붙부터 등록금액을 초과하여 장학금을 받은 자 ","학교장 추천에 의한 일괄 신청","장학생 추천서성적증명서주민등록등본장학금 지급신청서서약서개인정보 제공 및 수집 동의서가족관계증명서(본인 부모 주소가 다른 경우 제출)  * 자세한 사항은 첨부파일 참조","http://www.bonghwa.go.kr","2023-04-13","2023-05-04"
"518","사단법인봉화군교육발전위원회","희망장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","성적 상위 50% 이내인 학생(체육특기생 성적기준 제외)","가정형편이 어려운 학생","1000000원","관내 학교 재학생으로 학업성적이 우수하고 품행이 모범적인 자농산촌 유망선수 육성을 위한 체육특기생(가정형편이 어려운 학생 우선)성적 상위 50% 이내인 학생 중 국민기초생활수급자 차상위계층 다자녀 등 가정형편이 어려운 학생(조손 한부모 장애가정 등 우선)","신청일 현재 본인 또는 부모(보호자)가 봉화군에 주민등록 주소지를 두고 있는 관내 학교 재학생","학교장 추천 및 장학위원회 심의 의결을 거쳐 선발","46명(중고) * 학교별 선발인원 첨부파일 참조","이장 새마을지도자 의용소방대 저소득층 자녀 장학금 대상자는 신청 불가학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받은 자","학교장 추천에 의한 일괄 선발","장학생 추천서성적증명서주민등록등본장학금 지급신청서서약서개인정보 제공 및 수집 동의서가족관계증명서기초생활수급자 증명서 또는 차상위계층 증명서(해당자)기타 해당자는 건강보험료 납부확인서 * 자세한 사항은 첨부파일 참조","http://www.bonghwa.go.kr","2023-04-13","2023-05-04"
"519","사단법인봉화군교육발전위원회","특기장학생","지자체","장학금","특기자","예술고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","개인 : 1500000원 이내단체(팀) : 2500000원 이내 * 대회 규모 및 수상성적에 따른 차등지급으로 자세한 사항은 첨부파일 참조","직전년도 전국단위 공인대회에서 3위 이내 입상한 고등학생 개인 및 단체(3인 이상)로 학교장이 추천한 자직전년도 도단위 대회 3위 이내에 입상한 고등학생 개인 및 단체(3인 이상)로 학교장이 추천한 자","신청일 현재 본인 또는 부모(보호자)가 봉화군에 주민등록 주소지를 두고 있는 군민","학교장 추천 및 장학위원회 심의 의결을 거쳐 선발 * 배점기준은 첨부파일 참조","개인 40명 단체 6팀 내외 * 초 중 고 대학생 포함","이장 새마을지도자 의용소방대 저소득층 자녀 장학금 대상자는 신청 불가학교 등 타 기관으로부터 등록금액을 초과하여 장학금을 받고 있지 아니할 것","학교장 추천에 의한 일괄 선발","장학생 추천서성적증명서주민등록등본장학금 지급신청서서약서개인정보 제공 및 수집 동의서가족관계증명서(본인 부모 주소가 다른 경우 제출)입상증명서 사본건강보험료 납부확인서건강보험증 사본 * 자세한 사항은 첨부파일 참조","http://www.bonghwa.go.kr","2023-04-13","2023-05-04"
"520","재단법인 마포인재육성장학재단","마포장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1500000원","마포구 거주 고등학생재단에서 주최하는 행사 홍보활동에 적극적인 참여가 가능한 학생 ","공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 만 30세 미만의 고등학교 재학생","""성적 재산정도 마포구 거주기간"" 별로 점수를 부여하여 장학생선정심사위원회의 심의를 거쳐 고득점자 순으로 선발","30명 ","선발분야 중 한가지 분야만 신청 가능1가구당 1명 다자녀 가정은 2자녀까지 신청 가능 * 자세한 사항은 첨부파일 참고","학교장 추천","장학생 신청서추천서개인정보 수집·이용·제공·조회 동의서주민등록초본가족관계증명서지방세세목별과세증명서확정일자를 받은 임대차 계약서가점증빙서류 * 자세한 사항은 첨부파일 참고","http://www.mapojh.or.kr","2023-10-11","2023-10-17"
"521","재단법인 마포인재육성장학재단","인재육성장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","1학년 : 중학교 3학년 전체석차가 상위 5% 이내인 학생2~3학년 : 전년도 인재육성장학생으로 선발된 학생 중 직전학기 전체석차 상위 5% 이내에 해당하는 학생","해당없음","2000000원","공통자격을 충족하는 마포구 소재 중학교를 졸업한 관내 9개 고등학교 재학생 * 경성고 상암고 광성고 서울여고 숭문고 홍익부속여고 서울디자인고 한세사이버보안고 홍익디자인고","공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 만 30세 미만의 고등학교 재학생","각 학교별로 추천한 장학생 1명 선발","9명(학교당 1명)","선발분야 중 한가지 분야만 신청 가능1가구당 1명 다자녀 가정은 2자녀까지 신청 가능 * 자세한 사항은 첨부파일 참고","학교장 추천 ( 학교별 1명 추천 )","장학생 신청서추천서개인정보 수집·이용·제공·조회 동의서주민등록초본가족관계증명서 * 장학생 추천서 성적기입란에 전체석차 백분율 기재※ 자세한 사항은 기관 홈페이지 참조","http://www.mapojh.or.kr","2023-10-11","2023-10-17"
"522","재단법인 마포인재육성장학재단","성적우수장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","직전학기 전체석차 상위 15% 이내인 자","해당없음","1500000원"," * 관내 고등학교마포구 관내 고등학교 재학생 중 학교장 추천을 받았으며 성적우수자 (광성고 경성고 상암고 서울여고 숭문고 홍익부속여고 서울디자인고 한세사이버보안고 홍익디자인고) * 관외 고등학교마포구 관외 고등학교 재학생 중 학교장 추천을 받았으며 성적우수자","공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 만 30세 미만의 고등학교 재학생","관내 고등학교 : 각 학교별로 추천한 장학생 1명을 선발관외 고등학교 : 성적을 참고하여 장학생선정심사위원회 심의를 거쳐 선발","12명 (관내 9명 / 관외 3명)","선발분야 중 한가지 분야만 신청 가능1가구당 1명 다자녀 가정은 2자녀까지 신청 가능 * 자세한 사항은 첨부파일 참고","학교장 추천","장학생 신청서추천서개인정보 수집·이용·제공·조회 동의서주민등록 초본가족관계증명서 * 자세한 사항은 첨부파일 참조","http://www.mapojh.or.kr","2023-10-11","2023-10-17"
"523","재단법인 마포인재육성장학재단","특기장학생","지자체","장학금","특기자","예술고/일반고/체육고","해당없음","해당없음","해당없음","2000000원","공고일로부터 1년 이내에 국가 특별시·광역시도 단위 이상 자치단체 또는 관련 기관 에서 주관하는 전국 규모 이상의 대회에서 3위권 이내 입상경력이 있는 자 * 분야 : 체육 분야 / 문화예술 분야 / 기능 분야 / 수학 과학 분야 ※ 자세한 사항은 첨부파일 참조","공고일 현재 계속하여 6개월 이상 마포구에 거주하고 있는 만 30세 미만의 고등학교 재학생","""입상성적 재산정도"" 별로 점수를 부여하여 장학생선정심사위원회의 심의를 거쳐 고득점자순으로 선발","4명 (중학생 포함 인원)","선발분야 중 한가지 분야만 신청 가능1가구당 1명 다자녀 가정은 2자녀까지 신청 가능 * 자세한 사항은 첨부파일 참고","학교장 추천","장학생 신청서추천서개인정보 수집·이용·제공·조회동의서주민등록초본가족관계증명서입상성적 증빙 서류지방세세목별과세증명서확정일자를 받은 임대차 계약서가점증빙서류 * 자세한 사항은 첨부파일 참조","http://www.mapojh.or.kr/","2023-10-11","2023-10-17"
"524","재단법인 의성군인재육성재단","재학성적우수 장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/외국어고/일반고","1학년/2학년/3학년/제한없음","인문계 고등학교: 재학인원 10% 이내의 1학기 성적우수자특성화 고등학교: 재학인원 5% 이내의 1학기 성적우수자","해당없음","1인당 1000000원","관내 고등학교 재학생","의성군 관내 고등학교에 재학 중인 자","해당없음","38명 * 인문계 29명 * 특성화고 9명","2022년 의성군인재육성재단 1차 장학금(입학성적우수) 수여자 제외 * 자세한 사항은 기관으로 문의 바랍니다.","학교장 일괄 추천으로 개인 접수 불가","장학생 지원신청서장학금 지급신청서각서개인정보제공동의서학교장 추천서성적 증명서 * 자세한 사항은 첨부파일 확인 바랍니다.","http://uscdream.kr","2022-08-16","2022-08-31"
"525","재단법인 대구광역시인재육성장학재단","대구교육인재육성장학금(창의융합적사고)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년","해당없음","기준 중위소득 100% 이하 가정 학생'23년도 건강보험료 소득판정기준표의 가구원수에 따른 건강보험료 본인부담금 이하 납부 가정  * 자세한 사항은 첨부파일 참고","4000000원원매년 재심사를 거쳐 고등학교 졸업시까지 지속 지원","대구 소재 고등학교 1~2학년 재학생평소 행실이 바르며 모범적인 학생학교장이 추천하는 '창의융합사고역량' 우수 인재 및 성장가능성이 있다고 판단되는 자학습역량 SW 메이커 발명 등 특정분야 우수자 및 성장가능한 자관련활동 참가자","대구 소재 고등학교 재학생","1차 서류평가2차 면접평가 * 재심사 : 학년 진급 시 성장보고서 및 관련 실적 근거 매년 장학생 선발위원회 재심사 거쳐 지급여부 결정","총 10명","징계 처분 받은 경우학업 중단한 경우타 시도로 전학(진학) 시민간을 제외한 정부 지자체 및 공공기관의 장학금 이중수혜시 (단 일회성장학금 제외)  * 자세한 사항은 첨부파일 참고","학교장 추천","건강보험료 납부확인서주민등록등본  ※ 자세한 사항은 기관 홈페이지 참조","www.dge.go.kr","2023-08-02","2023-09-01"
"526","재단법인 대구광역시인재육성장학재단","대구교육인재육성장학금(공동체)","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년","해당없음","기준 중위소득 100% 이하 가정 학생'23년도 건강보험료 소득판정기준표의 가구원수에 따른 건강보험료 본인부담금 이하 납부 가정  * 자세한 사항은 첨부파일 참고","4000000원매년 재심사를 거쳐 고등학교 졸업시까지 지속 지원","대구 소재 고등학교 1~2학년 재학생평소 행실이 바르며 모범적인 학생학교장이 추천하는 '공도체역량'우수인재 및 성장가능성이 있다고 판단되는 자자원봉사 환경보호분야 국제교류(외국어포함) 우수자 및 성장가능한 자관련활동 참여자","대구 소재 고등학교 재학생","1차 서류평가2차 면접평가 * 재심사 : 학년 진급 시 성장보고서 및 관련 실적 근거 매년 장학생 선발위원회 재심사 거쳐 지급여부 결정","총 10명명","징계 처분 받은 경우학업 중단한 경우타 시도로 전학(진학) 시민간을 제외한 정부 지자체 및 공공기관의 장학금 이중수혜시 (단 일회성장학금 제외)  * 자세한 사항은 첨부파일 참고","학교장 추천","건강보험료 납부확인서주민등록등본 * 자세한 사항은 첨부파일 참고","www.dge.go.kr ","2023-08-02","2023-09-01"
"527","재단법인 대구광역시인재육성장학재단","카펙발레오 장학금","지자체","장학금","지역연고","마이스터고","해당없음","해당없음","해당없음","500000원","특성화고 학생","해당없음","학교 접수→장학생 선발 심사위원회→소속 학교장 추천→시교육청 중등교육과 및 융합인재과→재단 제출","52명","해당없음","해당없음","학교장 추천서사유서(학교 세외현금 계좌로 신청할 경우만)통장사본개인정보 수집·동의서","https://www.dge.go.kr","2022-12-05","2022-12-28"
"528","재단법인 울산연구원","생활장학금","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/체육고","해당없음","국어영어 수학 교과의 전 학기 평균이 5등급 이내인 학생","기초생활수급자차상위계층소득분위 6분위 이하","1000000원","해당없음","공고일 현재 본인 또는 보호자 주민등록상 울산 거주자","해당없음","10명(초중고대 포함)","해당없음","교육감 추천","장학금지원신청서신청인 서약서개인정보 수집/이용/제공 및 조회 동의서주민등록등본가족관계증명서재학증명서성적증명서각종 증빙서류통장사본※ 자세한 사항은 홈페이지 참고 ","uill.uri.re.kr","2023-10-10","2023-10-27"
"529","재단법인 부산광역시 남구장학회","장학생","지자체","장학금","지역연고","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/체육고","1학년/2학년/3학년/제한없음","(성적우수) 품행이 단정하며 학업성적이 평균 2등급 이내","(희망) 가정형편 등의 사유로 수학이 곤란한 자소년소녀가정 기초수급자 장애인가정 차상위가구 한부모가정 조손가정 무주택자 실직가정 ","1000000원 ","(성적우수) 품행이 단정하며 학업성적이 평균 2등급 이내(희망) 가정형편 등의 사유로 수학이 곤란한 자(재능) 문화 예술 체육 과학 기능 분야에 소질과 재능이 뛰어나며 광역시 및 도 단위 이상 대회 및 경진대회에서 1위 입상자(기타) 자원봉사활동 실적 30시간 이상인 자 ","학부모 또는 학생이 부산 남구 관내에 주소를 두고 장학생 선발 신청일 현재 3년 이상 계속 주소가 되어 있으며 사실상 거주하고 있는 자 ","해당없음","20명","국가 지방자치단체 타 기관 등으로부터 장학금을 받고 있는 자또는 받을 예정인 자남구장학회 장학생으로 선발된 이력이 있는 자                ","해당없음","장학금 신청서장학생 추천서장학금 수혜여부 확인서주민등록등본학부모 또는 보호자 증명 서류재학증명서기타 장학금 신청에 필요한 서류개인정보 수집·이용 및 제3자 제공 동의서  * 장학상품마다 제출 서류가 다르므로 첨부파일 참고 ","https://www.bsnamgu.go.kr","2023-11-20","2023-12-15"
"530","재단법인 연수큰재장학재단","특기장학생","지자체","장학금","특기자","과학고/국제고/마이스터고/영재고/예술고/외국어고/일반고/자율고/제한없음/체육고","1학년/2학년/3학년/제한없음","해당없음","해당없음","1000000원 (생활비성)","공고일 기준 최근 1년 이내 해당분야 전국대회 국제대회에서 개인분야 또는 단체분야 5위 이내 성적을 득하거나 시.도 단위 이상 대회에서 개인분야 또는 단체분야 3위 이내 성적을 득한 자  * 자세한 사항은 첨부파일 참고","공고일로부터 12개월 전부터 공고일까지 계속하여 연수구에 주민등록이 되어 있는 학생 또는 부·모(또는 보호자)의 자녀","분야별 성적 등을 우선순위 기준으로 종합적인 심의를 거쳐 장학생 선발심의위원회에서 선발 ","00명 ","국외유학생5개 선발분야 중 1개 분야만 신청 가능 * 자세한 사항은 첨부파일 참고 ","단체분야 : 해당 단체에서 가장 크게 기여했다고 추천받은 1명만 신청 가능  * 각 학교에서 대상자 다수일 경우 다인추천 가능 (학교장추천)","장학생 신청서장학생 추천서개인정보 수집/이용/제공/조회 동의서주민등록등본가족관계증명서(학생이 타 지역 거주인 경우)재학증명서대회 입상 확인증명서 또는 상장 사본대회 개최 공고문 * 자세한 사항은 첨부파일 참고","https://ysjaedan.imweb.me ","2023-09-27","2023-10-20"
"531","사랑의열매 대구사회복지공동모금회","소선나눔기금","민간(기타)","장학금","소득구분","과학고/마이스터고/영재고/일반고","1학년/2학년/3학년/제한없음","학업성적 상위 30% 이내 학생","해당없음","(고등학생) 5000000원 * 지원성격 : 학원비 등 교육비 기초생계유지비 등","대구 소재 고등학교 재학생과학기술분야 진로에 관심있는 고등학생 우선 선발삶의 계획과 비전이 뚜렷하며 도덕성·정직성·성실함이 함양된 인성을 가진 학생","대구 소재 중·고등학교 재학생","해당없음","10명","해당없음","학교 지자체 사회복지시설/기관 등의 직인 또는 서명이 포함된 추천서 제출(선택)","자기소개서수학계획서개인정보 수집·이용 및 제공 동의서재학증명서성적증명서주민등록등본소득관련서류(건강보험료 납입영수증/수급자증명서/차상위증명서/한부모증명서)학교추천서과학수학관련 수상경력 증빙서류 (추가서류)","https://daegu.chest.or.kr","2023-05-22","2023-06-09"
